Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:14:15;DROP;UDP;10.25.34.143;239.255.255.250;52391;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:15;DROP;UDP;127.0.0.1;239.255.255.250;52392;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;UDP;10.25.34.143;10.25.34.255;137;137;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.143;193.170.234.138;49738;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.143;193.170.234.138;49739;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.143;193.170.234.138;49740;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.143;193.170.234.138;49741;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.143;193.170.234.138;49742;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;DROP;UDP;::1;ff02::c;52390;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:16;DROP;UDP;10.25.34.143;239.255.255.250;52391;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:16;DROP;UDP;127.0.0.1;239.255.255.250;52392;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:16;DROP;UDP;::1;ff02::c;52390;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:16;DROP;UDP;10.25.34.143;239.255.255.250;52391;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:16;DROP;UDP;127.0.0.1;239.255.255.250;52392;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:17;DROP;UDP;10.25.34.143;239.255.255.250;52391;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:17;DROP;UDP;127.0.0.1;239.255.255.250;52392;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:18;DROP;UDP;10.25.34.143;239.255.255.250;52391;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:18;DROP;UDP;127.0.0.1;239.255.255.250;52392;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:18;ALLOW;UDP;10.25.34.143;193.170.234.138;53648;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:18;ALLOW;UDP;10.25.34.143;193.170.234.138;53649;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:18;ALLOW;TCP;10.25.34.143;193.170.234.138;49743;49670;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:18;ALLOW;TCP;10.25.34.143;193.170.234.138;49744;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:18;ALLOW;TCP;10.25.34.143;193.170.234.138;49745;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:18;DROP;UDP;::1;ff02::c;53651;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:18;DROP;UDP;10.25.34.143;239.255.255.250;53650;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:18;DROP;UDP;127.0.0.1;239.255.255.250;53650;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:18;ALLOW;TCP;10.25.34.143;193.170.234.138;49746;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:18;DROP;UDP;::1;ff02::c;53651;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:18;DROP;UDP;10.25.34.143;239.255.255.250;53650;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:18;DROP;UDP;127.0.0.1;239.255.255.250;53650;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:19;DROP;UDP;::1;ff02::c;53651;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:19;DROP;UDP;10.25.34.143;239.255.255.250;53650;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:19;DROP;UDP;127.0.0.1;239.255.255.250;53650;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;TCP;10.25.34.143;193.170.234.138;49747;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;TCP;10.25.34.143;193.170.234.138;49748;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;TCP;10.25.34.143;193.170.234.138;49749;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;TCP;10.25.34.143;193.170.234.138;49750;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;UDP;10.25.34.143;193.170.234.182;54034;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;UDP;10.25.34.143;52.143.81.222;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:19;DROP;UDP;::1;ff02::c;53651;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;TCP;10.25.34.143;193.170.234.138;49752;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;TCP;10.25.34.143;193.170.234.138;49753;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;TCP;10.25.34.143;193.170.234.138;49754;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;TCP;10.25.34.143;193.170.234.138;49755;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;TCP;10.25.34.143;193.170.234.138;49756;445;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;TCP;10.25.34.143;193.170.234.138;49757;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;TCP;10.25.34.143;193.170.234.138;49758;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;TCP;10.25.34.143;52.143.81.222;49751;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:19;DROP;UDP;10.25.34.143;239.255.255.250;53650;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:19;DROP;UDP;127.0.0.1;239.255.255.250;53650;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;TCP;10.25.34.143;193.170.234.138;49759;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;UDP;10.25.34.143;193.170.234.138;123;123;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49760;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;UDP;10.25.34.143;193.170.234.182;53099;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49761;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;UDP;10.25.34.143;92.123.24.119;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;92.123.24.119;49762;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;UDP;10.25.34.143;193.170.234.182;50242;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;92.123.24.119;49763;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;UDP;10.25.34.143;193.170.234.182;53314;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;92.123.24.119;49764;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;DROP;UDP;::1;ff02::c;53651;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49765;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49766;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49767;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49768;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49769;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49770;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49771;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49772;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;UDP;10.25.34.143;193.170.234.182;54311;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.198;49773;1688;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.198;49775;1688;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.198;49774;1688;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;UDP;10.25.34.143;193.170.234.198;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49776;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49777;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49778;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49779;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49780;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49781;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49782;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49783;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49784;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;DROP;UDP;10.25.34.143;239.255.255.250;53650;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:20;DROP;UDP;127.0.0.1;239.255.255.250;53650;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49785;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:20;ALLOW;TCP;10.25.34.143;193.170.234.138;49786;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;193.170.234.138;49787;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;193.170.234.138;49788;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;193.170.234.138;49789;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;DROP;UDP;10.25.34.143;239.255.255.250;52391;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:21;DROP;UDP;127.0.0.1;239.255.255.250;52392;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;193.170.234.138;49790;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;193.170.234.138;49791;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;193.170.234.138;49792;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;193.170.234.138;49793;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;193.170.234.138;49794;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;193.170.234.138;49795;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;193.170.234.138;49796;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;DROP;TCP;10.25.34.143;20.82.207.122;49797;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;DROP;TCP;10.25.34.143;20.82.207.122;49798;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;DROP;TCP;10.25.34.143;20.82.207.122;49799;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;DROP;TCP;10.25.34.143;20.82.207.122;49800;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;DROP;TCP;10.25.34.143;20.82.207.122;49801;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;DROP;TCP;10.25.34.143;20.82.207.122;49802;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;DROP;TCP;10.25.34.143;20.82.207.122;49803;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;DROP;TCP;10.25.34.143;20.82.207.122;49804;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;193.170.234.138;49805;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;193.170.234.138;49806;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;DROP;TCP;10.25.34.143;10.25.34.201;49807;3911;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;104.103.88.181;49808;80;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;193.170.234.138;49809;135;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;DROP;TCP;10.25.34.143;193.170.234.138;49810;49672;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;DROP;TCP;10.25.34.143;193.170.234.138;49811;49672;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;104.103.88.181;49812;80;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;UDP;10.25.34.143;193.170.234.182;65023;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;UDP;10.25.34.143;51.104.164.114;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;51.104.164.114;49813;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:21;ALLOW;TCP;10.25.34.143;104.103.88.181;49814;80;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:22;ALLOW;TCP;10.25.34.143;104.103.88.181;49815;80;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:22;ALLOW;TCP;10.25.34.143;104.103.88.181;49816;80;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:22;ALLOW;TCP;10.25.34.143;104.103.88.181;49817;80;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:22;DROP;UDP;::1;ff02::c;53651;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:22;ALLOW;TCP;10.25.34.143;104.103.88.181;49818;80;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:22;ALLOW;TCP;10.25.34.143;104.103.88.181;49819;80;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:22;DROP;UDP;10.25.34.143;239.255.255.250;53650;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:22;DROP;UDP;127.0.0.1;239.255.255.250;53650;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:22;ALLOW;TCP;10.25.34.143;193.170.234.138;49821;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:22;ALLOW;TCP;10.25.34.143;193.170.234.138;49822;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:23;ALLOW;TCP;10.25.34.143;193.170.234.138;49823;445;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:23;ALLOW;TCP;10.25.34.143;20.190.159.131;49824;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:23;ALLOW;TCP;10.25.34.143;193.170.234.138;49825;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:24;ALLOW;TCP;10.25.34.143;193.170.234.138;49826;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:24;ALLOW;UDP;10.25.34.143;193.170.234.182;54279;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:24;ALLOW;TCP;10.25.34.143;13.69.239.74;49827;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:24;DROP;UDP;::1;ff02::c;53651;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:24;ALLOW;TCP;10.25.34.143;20.190.159.131;49828;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:24;DROP;UDP;10.25.34.143;239.255.255.250;53650;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:24;DROP;UDP;127.0.0.1;239.255.255.250;53650;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:24;ALLOW;UDP;10.25.34.143;193.170.234.182;61457;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:24;ALLOW;UDP;10.25.34.143;193.170.234.182;52149;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:24;DROP;TCP;10.25.34.143;20.73.128.142;49829;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:25;ALLOW;UDP;10.25.34.143;193.170.234.182;63378;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:25;ALLOW;UDP;10.25.34.143;193.170.234.182;57164;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:25;ALLOW;UDP;10.25.34.143;193.170.234.182;58294;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:25;DROP;TCP;10.25.34.143;13.107.5.88;49830;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:25;DROP;TCP;10.25.34.143;13.107.42.16;49831;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:25;DROP;TCP;10.25.34.143;52.109.8.21;49832;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:25;DROP;TCP;10.25.34.143;52.109.8.21;49833;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:30;ALLOW;TCP;127.0.0.1;127.0.0.1;49834;55460;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:30;ALLOW;TCP;127.0.0.1;127.0.0.1;49834;55460;0;-;0;0;0;-;-;-;RECEIVE
13.01.2022 08:14:30;ALLOW;UDP;10.25.34.143;193.170.234.182;54930;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:30;DROP;TCP;10.25.34.143;40.125.120.53;49835;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:30;DROP;TCP;10.25.34.143;40.125.120.53;49836;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:30;DROP;TCP;10.25.34.143;40.125.120.53;49837;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:33;ALLOW;UDP;10.25.34.143;193.170.234.182;62671;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:33;DROP;TCP;10.25.34.143;20.54.89.106;49838;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:33;DROP;TCP;10.25.34.143;20.54.89.106;49839;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:33;DROP;TCP;10.25.34.143;20.54.89.106;49840;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:33;DROP;TCP;10.25.34.143;20.54.89.106;49841;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:33;DROP;TCP;10.25.34.143;20.54.89.106;49842;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:33;DROP;TCP;10.25.34.143;20.54.89.106;49843;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:33;DROP;TCP;10.25.34.143;20.54.89.106;49844;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:33;DROP;TCP;10.25.34.143;20.54.89.106;49845;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:35;ALLOW;UDP;10.25.34.143;193.170.234.182;50723;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:35;ALLOW;TCP;10.25.34.143;13.69.239.74;49846;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:40;DROP;TCP;10.25.34.143;40.125.120.53;49847;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:40;DROP;TCP;10.25.34.143;40.125.120.53;49848;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:40;DROP;TCP;10.25.34.143;40.125.120.53;49849;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:40;DROP;TCP;10.25.34.143;40.125.120.53;49850;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:40;ALLOW;UDP;10.25.34.143;193.170.234.182;64167;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:40;DROP;TCP;10.25.34.143;13.107.42.16;49851;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:40;DROP;TCP;10.25.34.143;13.107.42.16;49852;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:40;DROP;TCP;10.25.34.143;13.107.42.16;49853;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:40;ALLOW;UDP;10.25.34.143;193.170.234.182;53922;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:40;ALLOW;ICMP;10.25.34.143;8.241.121.126;-;-;0;-;-;-;-;8;0;-;SEND
13.01.2022 08:14:40;ALLOW;UDP;10.25.34.143;193.170.234.182;53498;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:40;DROP;TCP;10.25.34.143;20.189.173.21;49854;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:40;DROP;TCP;10.25.34.143;20.189.173.21;49855;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:40;DROP;TCP;10.25.34.143;20.189.173.21;49856;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:40;DROP;TCP;10.25.34.143;20.189.173.21;49857;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:40;DROP;TCP;10.25.34.143;20.189.173.21;49858;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:40;DROP;TCP;10.25.34.143;20.189.173.21;49859;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:40;DROP;TCP;10.25.34.143;20.189.173.21;49860;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:40;DROP;TCP;10.25.34.143;20.189.173.21;49861;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:43;ALLOW;UDP;10.25.34.143;193.170.234.182;54135;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:43;ALLOW;TCP;10.25.34.143;104.103.88.181;49862;80;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:43;ALLOW;TCP;10.25.34.143;104.103.88.181;49863;80;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:44;ALLOW;ICMP;10.25.34.143;8.241.121.126;-;-;0;-;-;-;-;8;0;-;SEND
13.01.2022 08:14:48;ALLOW;ICMP;10.25.34.143;8.241.121.126;-;-;0;-;-;-;-;8;0;-;SEND
13.01.2022 08:14:49;DROP;TCP;10.25.34.143;13.107.42.16;49864;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:49;DROP;TCP;10.25.34.143;13.107.42.16;49865;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:49;DROP;TCP;10.25.34.143;13.107.42.16;49866;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:49;DROP;TCP;10.25.34.143;13.107.42.16;49867;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:49;ALLOW;UDP;10.25.34.143;193.170.234.182;49887;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:49;DROP;TCP;10.25.34.143;20.189.173.21;49868;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:49;ALLOW;TCP;127.0.0.1;127.0.0.1;49869;55460;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:49;ALLOW;TCP;127.0.0.1;127.0.0.1;49869;55460;0;-;0;0;0;-;-;-;RECEIVE
13.01.2022 08:14:49;DROP;TCP;10.25.34.143;20.189.173.21;49870;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:50;DROP;TCP;10.25.34.143;20.189.173.21;49871;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:50;DROP;TCP;10.25.34.143;20.189.173.21;49872;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:50;DROP;TCP;10.25.34.143;20.189.173.21;49873;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:50;DROP;TCP;10.25.34.143;20.189.173.21;49874;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:50;DROP;TCP;10.25.34.143;20.189.173.21;49875;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:50;DROP;TCP;10.25.34.143;20.189.173.21;49876;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:50;DROP;TCP;10.25.34.143;20.189.173.21;49877;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:52;ALLOW;ICMP;10.25.34.143;8.241.121.126;-;-;0;-;-;-;-;8;0;-;SEND
13.01.2022 08:14:56;ALLOW;ICMP;10.25.34.143;8.241.121.126;-;-;0;-;-;-;-;8;0;-;SEND
13.01.2022 08:15:00;ALLOW;ICMP;10.25.34.143;8.241.121.126;-;-;0;-;-;-;-;8;0;-;SEND
13.01.2022 08:15:04;ALLOW;TCP;10.25.34.143;193.170.234.138;49878;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:04;ALLOW;ICMP;10.25.34.143;8.241.121.126;-;-;0;-;-;-;-;8;0;-;SEND
13.01.2022 08:15:04;ALLOW;UDP;10.25.34.143;193.170.234.182;61440;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:04;DROP;TCP;10.25.34.143;52.109.8.25;49879;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:04;DROP;TCP;10.25.34.143;52.109.8.21;49880;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:06;ALLOW;TCP;10.25.34.143;193.170.234.138;49881;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:06;ALLOW;TCP;10.25.34.143;193.170.234.138;49882;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:08;ALLOW;ICMP;10.25.34.143;8.241.121.126;-;-;0;-;-;-;-;8;0;-;SEND
13.01.2022 08:15:10;ALLOW;UDP;10.25.34.162;239.255.255.250;50566;1900;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:15:10;ALLOW;TCP;10.25.34.143;20.199.120.151;49883;443;0;-;0;0;0;-;-;-;SEND
